train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps
0.0003,-17.112930297851562,0.019963230937719345,0.24304136633872986,257.30972228999997,-0.19039642810821533,11712,116899,585,200.0,9,117000
0.0003,-17.566740036010742,0.019789334386587143,0.2560497522354126,257.35655416,-1.7535250186920166,11732,117099,586,200.0,9,117200
0.0003,-17.180007934570312,0.019631942734122276,0.2794182300567627,257.67771325999996,1.905136227607727,11752,117299,587,200.0,9,117400
0.0003,-15.642009735107422,0.0197827760130167,0.5439044237136841,258.66892663,0.6515109539031982,11772,117499,588,200.0,9,117600
0.0003,-16.48805046081543,0.019722191616892815,0.3017604947090149,258.89707095,-3.2709455490112305,11792,117699,589,200.0,9,117800
0.0003,-16.823162078857422,0.0197586752474308,0.634977400302887,259.01966425999996,-2.0845086574554443,11812,117899,590,200.0,9,118000
0.0003,-16.6603946685791,0.019664224237203598,0.3934420943260193,259.05768137999996,3.3354434967041016,11832,118099,591,200.0,9,118200
0.0003,-17.400646209716797,0.019789716228842735,0.22722625732421875,259.22078859,-4.284616947174072,11852,118299,592,200.0,9,118400
0.0003,-16.691041946411133,0.019990378990769386,0.2554665505886078,259.32602810000003,-1.4876388311386108,11872,118499,593,200.0,9,118600
0.0003,-17.00159454345703,0.01975223608314991,0.4484367370605469,259.48578885999996,1.5790858268737793,11892,118699,594,200.0,9,118800
0.0003,-17.201148986816406,0.01974410004913807,0.3639136850833893,259.6250302,1.1184331178665161,11912,118899,595,200.0,9,119000
0.0003,-16.995370864868164,0.019664768129587173,0.3926135301589966,259.69503708,0.9593220353126526,11932,119099,596,200.0,9,119200
0.0003,-16.979217529296875,0.019792674109339714,0.41671836376190186,259.67645772,0.5828676819801331,11952,119299,597,200.0,9,119400
0.0003,-17.58759117126465,0.01960022933781147,0.2861596643924713,259.79142072999997,-2.169666290283203,11972,119499,598,200.0,9,119600
0.0003,-17.393674850463867,0.019502097740769386,0.2994588315486908,259.91582834999997,2.09112286567688,11992,119699,599,200.0,9,119800
