train/learning_rate,time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,time/episodes,time/fps,train/actor_loss
0.0003,34000,0.01166114117950201,3403,200.0,0.21386848390102386,1.4724605083465576,33899,110.68302047000002,170,9,-5.244444847106934
0.0003,34200,0.011623435653746128,3423,200.0,0.22697240114212036,1.1477038860321045,34099,113.10160291000003,171,9,-5.228981018066406
0.0003,34400,0.011716844514012337,3443,200.0,0.201775461435318,-0.995215654373169,34299,115.5324504,172,9,-4.965178966522217
0.0003,34600,0.011776391416788101,3463,200.0,0.24578428268432617,-2.8792800903320312,34499,117.2214504,173,9,-5.358166217803955
0.0003,34800,0.011853738687932491,3483,200.0,0.3199077844619751,0.3314289450645447,34699,118.98365385,174,9,-5.766984462738037
0.0003,35000,0.011896291747689247,3503,200.0,0.260267049074173,1.3723034858703613,34899,121.21426353000001,175,9,-6.041721343994141
0.0003,35200,0.011931678280234337,3523,200.0,0.16951675713062286,5.56553316116333,35099,123.51167552999999,176,9,-5.819075107574463
0.0003,35400,0.012170334346592426,3543,200.0,0.20309224724769592,-2.4388601779937744,35299,126.11505005000001,177,9,-5.338633060455322
0.0003,35600,0.012195988558232784,3563,200.0,0.3037554621696472,-2.6036717891693115,35499,127.9010427,178,9,-5.363743305206299
0.0003,35800,0.012222775258123875,3583,200.0,0.23675492405891418,0.3665415644645691,35699,129.95184045,179,9,-5.567496299743652
0.0003,36000,0.012337933294475079,3603,200.0,0.2831442952156067,1.1793757677078247,35899,132.18833127999997,180,9,-6.09299898147583
0.0003,36200,0.012283316813409328,3623,200.0,0.2989959716796875,2.670011043548584,36099,134.61237886,181,9,-6.128252029418945
0.0003,36400,0.012356137856841087,3643,200.0,0.21920116245746613,-0.30362898111343384,36299,136.58894514000002,182,9,-5.93304967880249
0.0003,36600,0.01234531868249178,3663,200.0,0.1985796093940735,-2.1388916969299316,36499,139.73999481,183,9,-5.704288005828857
0.0003,36800,0.012492402456700802,3683,200.0,0.21065622568130493,0.8683159947395325,36699,141.65499592000003,184,9,-6.043458938598633
0.0003,37000,0.012607634998857975,3703,200.0,0.23146291077136993,1.2329366207122803,36899,144.23695526,185,9,-6.19857931137085
0.0003,37200,0.012702696025371552,3723,200.0,0.30249887704849243,-2.9325544834136963,37099,146.81697857000003,186,9,-5.669277667999268
0.0003,37400,0.0128182303160429,3743,200.0,0.26285359263420105,-0.6992641687393188,37299,149.39068115,187,9,-6.428569793701172
0.0003,37600,0.012870240956544876,3763,200.0,0.22962038218975067,0.6801998019218445,37499,151.94043479,188,9,-6.143731117248535
0.0003,37800,0.013018927536904812,3783,200.0,0.2041715383529663,1.5316094160079956,37699,154.76482922,189,9,-6.29829740524292
0.0003,38000,0.013055979274213314,3803,200.0,0.2809244394302368,-0.7233052849769592,37899,157.01939898999998,190,9,-6.265883922576904
0.0003,38200,0.013086388818919659,3823,200.0,0.24213270843029022,2.015937089920044,38099,159.66823886999998,191,9,-6.563932418823242
0.0003,38400,0.01316926907747984,3843,200.0,0.25181150436401367,0.2343183159828186,38299,162.71091377,192,9,-6.370591163635254
0.0003,38600,0.013214371167123318,3863,200.0,0.24071836471557617,-0.13454723358154297,38499,164.60083714999996,193,9,-6.229080677032471
0.0003,38800,0.013338266871869564,3883,200.0,0.1970972865819931,4.394873142242432,38699,167.12756896,194,9,-6.3085808753967285
0.0003,39000,0.013421487994492054,3904,200.0,0.2292485237121582,3.692189931869507,38899,169.29044359,195,9,-6.202347755432129
0.0003,39200,0.013512834906578064,3924,200.0,0.1897450089454651,-0.3282269239425659,39099,171.57600748000002,196,9,-6.579479694366455
0.0003,39400,0.013596211560070515,3944,200.0,0.2313484251499176,1.1967159509658813,39299,173.80649207,197,9,-6.6957831382751465
0.0003,39600,0.013583225198090076,3964,200.0,0.3286290168762207,0.45008385181427,39499,175.71570565,198,9,-6.584015846252441
0.0003,39800,0.0135126868262887,3984,200.0,0.24910083413124084,1.8517946004867554,39699,178.03642847999998,199,9,-6.783995151519775
0.0003,40000,0.013608904555439949,4004,200.0,0.2989318370819092,1.890986442565918,39899,180.32435573000004,200,9,-6.172162055969238
0.0003,40200,0.01359617244452238,4024,200.0,0.1861751526594162,-2.6149563789367676,40099,182.56190868000002,201,9,-6.475502014160156
0.0003,40395,0.013692828826606274,4043,199.95,0.2463129758834839,-2.594057083129883,40294,183.69378623,202,9,-6.715800762176514
0.0003,40595,0.013754413463175297,4063,199.95,0.4496237635612488,-3.690244674682617,40494,185.9851036,203,9,-6.387489318847656
0.0003,40795,0.013946154154837132,4083,199.95,0.2276003360748291,-2.9762778282165527,40694,188.05107114000003,204,9,-6.704239845275879
0.0003,40995,0.014147871173918247,4103,199.95,0.3281230330467224,0.14710009098052979,40894,189.89617610000002,205,9,-6.889029502868652
